body type,Brand,model,modelYear,price,Kms Driven,Fuel Type,Transmission,Max Power,Torque,Mileage,Engine,ownerNo,Insurance Validity,Seats,City
Hatchback,Maruti,Maruti Baleno,2019,8.43,32184,Petrol,Automatic,83.0,115.0,21.4,1197,2,Third Party,5,Bangalore
Hatchback,Maruti,Maruti Baleno RS,2018,7.99,32279,Petrol,Manual,100.0,150.0,21.1,998,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai i20,2015,5.76,59698,Petrol,Manual,81.0,114.0,18.6,1197,1,Comprehensive,5,Bangalore
SUV,Renault,Renault Captur,2018,9.49,46071,Diesel,Manual,108.0,240.0,20.37,1461,1,Comprehensive,5,Bangalore
SUV,Maruti,Maruti Vitara Brezza,2017,7.95,90000,Diesel,Manual,88.0,200.0,24.3,1248,1,Third Party insurance,5,Bangalore
SUV,Hyundai,Hyundai Venue,2019,10.85,9554,Petrol,Manual,118.0,171.0,18.27,998,1,Third Party,5,Bangalore
SUV,Jeep,Jeep Compass,2022,25.9,14000,Petrol,Automatic,160.0,250.0,14.1,1368,1,Comprehensive,5,Bangalore
SUV,Renault,Renault Duster,2013,5.16,74499,Diesel,Manual,83.0,200.0,20.45,1461,2,Third Party,5,Bangalore
SUV,Ford,Ford Ecosport,2017,7.77,56211,Petrol,Automatic,121.0,150.0,14.8,1497,2,Comprehensive,5,Bangalore
Hatchback,Honda,Honda Jazz,2019,7.53,9001,Petrol,Manual,88.0,110.0,18.2,1199,1,Comprehensive,5,Bangalore
SUV,Mahindra,Mahindra XUV500,2017,12.26,65457,Diesel,Automatic,140.0,320.0,16.0,1997,2,Third Party insurance,7,Bangalore
Hatchback,Honda,Honda Jazz,2017,7.25,23682,Petrol,Manual,88.0,110.0,18.7,1199,1,Comprehensive,5,Bangalore
Sedan,Hyundai,Hyundai Verna,2020,11.5,50000,Diesel,Manual,126.0,259.0,22.0,1582,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2015,6.29,134557,Diesel,Manual,74.0,190.0,25.2,1248,2,Comprehensive,5,Bangalore
Sedan,Maruti,Maruti Swift Dzire,2013,4.47,96567,Petrol,Manual,88.0,113.0,22.41,1197,2,Comprehensive,5,Bangalore
